id,title
10510,차량지원
10525,일본 현지 취업
10524,일본어 활용
10523,원티드 픽
10522,인턴
10521,예비 유니콘
10520,출산육아휴직
10519,장애인전형
10513,전문연구요원
10512,산업기능요원
10511,통신비
10526,외국어 능통자 우대
10509,유연근무
10508,재택근무
10492,아기 유니콘
10486,AI 선도 기업
10484,일·가정 양립
10466,금융업계
10462,워크샵
10447,유망산업
10444,자율복장
10443,사내동호회
10602,모빌리티산업
10685,유리한 지원 경쟁률
10683,포스텍홀딩스 투자기업
10682,Global Recruiting Carnival
10680,스파크랩 투자기업
10677,더벤처스 투자기업
10675,글로벌 TOP 기업
10665,매쉬업벤처스 투자기업
10656,퓨처플레이 투자기업
10655,IBK창공 투자기업
10603,대기업
10442,닉네임사용
10601,유통산업
10600,이커머스산업
10599,미디어산업
10598,뷰티산업
10597,누적투자100억이상
10593,장애인우대
10592,병역특례
10574,계약직
10564,대규모 채용 중
10537,적극 채용 중
10406,"10,001명이상"
10418,육아휴직
10417,리프레시휴가
10416,자유로운휴가
10415,주4일근무
10414,주35시간
10411,퇴사율6~10%
10410,퇴사율5%이하
10409,설립10년이상
10408,설립4~9년
10407,설립3년이하
10419,출산휴가
10405,"1,001~10,000명"
10404,"301~1,000명"
10403,51~300명
10402,50명이하
10401,인원 급성장
10400,인원성장
10399,연봉상위11~20%
10398,연봉상위6~10%
10397,연봉상위2~5%
10396,연봉상위1%
10431,스톡옵션
10441,수평적조직
10440,편의시설
10439,장비지원
10438,휴가비
10437,식대지원
10436,커피·스낵바
10435,해외연수
10434,주차지원
10433,자기계발지원
10432,임직원할인
10395,연봉 업계평균이상
10430,대출지원
10427,복지포인트
10426,보너스
10425,의료비지원
10424,단체보험
10423,건강검진지원
10422,어린이돌봄
10421,무제한연차
10420,유급휴가
